violationnumber,violationtype,form,violationdate,casenumber,casetype,officer,violationjurisdiction,court,docket,appearancedate,outcomedate,outcomestat,receipt,offense,ObjectId
V21-015633,WARNING,01-50241,2021/01/28 14:06:00+00,A21-088205-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40245,,,2021/04/28 00:00:00,2021/05/04 00:00:00,COMPLIED,,91.020,36
V21-015633,WARNING,01-50241,2021/01/28 14:06:00+00,A21-088205-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40245,,,2021/04/28 00:00:00,2021/05/04 00:00:00,COMPLIED,,91.020,37
V21-015635,WARNING,01-50242,2021/01/28 15:31:00+00,A21-088201-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40299,,,2021/05/28 00:00:00,2021/06/14 00:00:00,COMPLIED,,91.020,38
V21-015635,WARNING,01-50242,2021/01/28 15:31:00+00,A21-088201-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40299,,,2021/05/28 00:00:00,2021/06/14 00:00:00,COMPLIED,,91.020,39
V21-015642,CIT DD/PDD,N919037,2021/01/30 00:39:00+00,A21-088247-2,INVESTIGAT ANI ATTACK,OFFICER STEWART,40203,03/30/21,,,,,,91.150,40
V21-015646,CITE71,N919006,2021/01/30 19:00:00+00,A21-088256-1,STRAY AGGRS,OFFICER MILLER,,03/03/21,,,,,,91.071,41
V21-015646,CITE71,N919006,2021/01/30 19:00:00+00,A21-088256-1,STRAY AGGRS,OFFICER MILLER,,03/03/21,,,,,,91.002,42
V21-015646,CITE71,N919006,2021/01/30 19:00:00+00,A21-088256-1,STRAY AGGRS,OFFICER MILLER,,03/03/21,,,,,,91.020,43
V21-015665,VIOL CTER,VR21-209747,2021/02/02 22:44:00+00,,,,40218,,,2021/02/02 17:44:00,2021/02/02 00:00:00,COMPLIED,R21-209747,91.002,44
V21-015665,VIOL CTER,VR21-209747,2021/02/02 22:44:00+00,,,,40218,,,2021/02/02 17:44:00,2021/02/02 00:00:00,COMPLIED,R21-209747,91.020,45
V21-015665,VIOL CTER,VR21-209747,2021/02/02 22:44:00+00,,,,40218,,,2021/02/02 17:44:00,2021/02/02 00:00:00,COMPLIED,R21-209747,91.071,46
V21-015666,VIOL CTER,VR21-209790,2021/02/03 20:16:00+00,,,,40218,,,2021/02/03 15:16:00,2021/02/03 00:00:00,COMPLIED,R21-209790,91.002,47
V21-015666,VIOL CTER,VR21-209790,2021/02/03 20:16:00+00,,,,40218,,,2021/02/03 15:16:00,2021/02/03 00:00:00,COMPLIED,R21-209790,91.071,48
V21-015711,VET,01-50144,2021/02/19 19:06:00+00,A21-088825-1,INVESTIGAT ANI ATTACK,OFFICER STEWART,40215,,,2021/02/20 14:06:00,2021/02/19 00:00:00,COMPLIED,,91.090,49
V21-015741,CIVIL PEN,02-100957,2021/02/26 14:45:00+00,A21-089006-2,OWNED AGGRESSIVE,OFFICER THOMPSON,40214,,,2021/03/08 00:00:00,,HAND ADMIN,,91.002,50
V21-015744,VET,01-51827,2021/02/26 17:24:00+00,A21-089000-1,INVESTIGAT NEGLI,OFFICER THOMPSON,40272,,,2021/02/28 00:00:00,2021/02/27 00:00:00,COMPLIED,,91.090,51
V21-015765,VIOL RED,VR21-210884,2021/02/28 18:02:00+00,A21-089060-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2021/02/28 13:27:00,2021/03/01 00:00:00,COMPLIED,,91.071,52
V21-015765,VIOL RED,VR21-210884,2021/02/28 18:02:00+00,A21-089060-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218,,,2021/02/28 13:27:00,2021/03/01 00:00:00,COMPLIED,,91.071,53
V21-015841,VIOL CTER,VR21-211806,2021/03/12 22:16:00+00,,,,40218,,,2021/03/12 17:16:00,2021/03/12 00:00:00,COMPLIED,R21-211806,91.002,54
V21-015841,VIOL CTER,VR21-211806,2021/03/12 22:16:00+00,,,,40218,,,2021/03/12 17:16:00,2021/03/12 00:00:00,COMPLIED,R21-211806,91.020,55
V21-015841,VIOL CTER,VR21-211806,2021/03/12 22:16:00+00,,,,40218,,,2021/03/12 17:16:00,2021/03/12 00:00:00,COMPLIED,R21-211806,91.071,56
V21-015845,VIOL CTER,VR21-211814,2021/03/13 18:11:00+00,,,,40218,,,2021/03/13 13:20:00,2021/03/13 00:00:00,COMPLIED,R21-211814,91.002,57
V21-015845,VIOL CTER,VR21-211814,2021/03/13 18:11:00+00,,,,40218,,,2021/03/13 13:20:00,2021/03/13 00:00:00,COMPLIED,R21-211814,91.020,58
V21-015845,VIOL CTER,VR21-211814,2021/03/13 18:11:00+00,,,,40218,,,2021/03/13 13:20:00,2021/03/13 00:00:00,COMPLIED,R21-211814,91.071,59
V21-015844,CIT DD/PDD,N918854,2021/03/12 18:00:00+00,A21-089400-1,INVESTIGAT BITE,OFFICER FORNER,40212,04/09/21,,,,,,91.150,60
V21-015844,CIT DD/PDD,N918854,2021/03/12 18:00:00+00,A21-089400-1,INVESTIGAT BITE,OFFICER FORNER,40212,04/09/21,,,,,,91.072,61
V21-015654,CIT DD/PDD,N918995,2021/02/02 17:40:00+00,A21-088323-2,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40219,02/19/21,,,2021/03/22 00:00:00,GUILTY,,91.150,62
V20-015515,CIT DD/PDD,P198746,2020/12/29 13:17:00+00,A20-087306-3,INVESTIGAT BITE,OFFICER COGBURN,40223,01/19/21,,,,,,91.150,63
V21-015723,WARNING,01-51826,2021/02/22 13:53:00+00,A21-088813-3,INVESTIGAT BITE,OFFICER THOMPSON,40216,,,2021/03/31 00:00:00,2021/04/26 00:00:00,VOID,,91.020,64
V21-015778,VIOL NOTIC,01-51856,2021/03/04 16:47:00+00,A21-089139-2,OWNED AGGRESSIVE,OFFICER RATLIFF,40299,,,2021/05/04 00:00:00,2021/05/30 00:00:00,COMPLIED,,91.020,65
V21-015583,WARNING,01-50205,2021/01/14 19:17:00+00,A21-087903-1,ASSIST SHERIFF,OFFICER MILLER,40208,,,2021/03/14 18:00:00,2021/03/26 00:00:00,DISMISSED,,91.020,66
V21-015947,CIT DD/PDD,N918678,2021/04/01 19:00:00+00,A21-089995-2,INVESTIGAT ANI ATTACK,OFFICER FORNER,40258,04/26/21,,,,,,91.150,67
V21-015879,VIOL RED,VR21-212216,2021/03/21 18:22:00+00,,,,40218,07/09/21,V21-015879,2021/05/30 00:00:00,,HAND ADMIN,,91.071,68
V21-015882,VIOL CTER,VR21-212211,2021/03/20 21:04:00+00,,,,40218,,,2021/03/20 17:04:00,2021/03/20 00:00:00,COMPLIED,R21-212211,91.002,69
V21-015882,VIOL CTER,VR21-212211,2021/03/20 21:04:00+00,,,,40218,,,2021/03/20 17:04:00,2021/03/20 00:00:00,COMPLIED,R21-212211,91.020,70
V21-015882,VIOL CTER,VR21-212211,2021/03/20 21:04:00+00,,,,40218,,,2021/03/20 17:04:00,2021/03/20 00:00:00,COMPLIED,R21-212211,91.071,71
V21-015888,WARNING,01-51569,2021/03/22 22:13:00+00,A21-089679-1,INVESTIGAT # POULTRY,OFFICER HARRIS,40214,,,2021/04/20 18:00:00,2021/04/21 00:00:00,COMPLIED,,91.002,72
V21-015945,CIVIL PEN,02-100626,2021/04/01 17:00:00+00,A21-089999-1,OWNED AGGRESSIVE,OFFICER FORNER,40223,,,2021/04/11 00:00:00,,HAND ADMIN,,91.002,73
V21-015946,VIOL NOTIC,01-50169,2021/04/01 19:27:00+00,A21-090002-1,NUISANCE RESTRAINT,OFFICER SABATINI,40219,,,2021/05/02 18:00:00,2021/04/20 00:00:00,COMPLIED,R21-213810,91.002,74
V21-015946,VIOL NOTIC,01-50169,2021/04/01 19:27:00+00,A21-090002-1,NUISANCE RESTRAINT,OFFICER SABATINI,40219,,,2021/05/02 18:00:00,2021/04/20 00:00:00,COMPLIED,R21-213810,91.020,75
V21-015687,VIOL RED,VR21-210253,2021/02/10 21:04:00+00,,,,40218,,,2021/06/01 00:00:00,2021/05/29 00:00:00,COMPLIED,R21-215811,91.020,76
V21-015947,CIT DD/PDD,N918678,2021/04/01 19:00:00+00,A21-089995-2,INVESTIGAT ANI ATTACK,OFFICER FORNER,40258,04/26/21,,,,,,91.020,77
V21-015723,WARNING,01-51826,2021/02/22 13:53:00+00,A21-088813-3,INVESTIGAT BITE,OFFICER THOMPSON,40216,,,2021/03/31 00:00:00,2021/04/26 00:00:00,VOID,,91.072,78
V21-015782,CIT DD/PDD,N919072,2021/03/05 17:02:00+00,A21-089167-4,INVESTIGAT ANI ATTACK,OFFICER THOMPSON,40272,04/22/21,,,,,,91.150,79
V21-015687,VIOL RED,VR21-210253,2021/02/10 21:04:00+00,,,,40218,,,2021/06/01 00:00:00,2021/05/29 00:00:00,COMPLIED,R21-215811,91.071,80
V21-015583,WARNING,01-50205,2021/01/14 19:17:00+00,A21-087903-1,ASSIST SHERIFF,OFFICER MILLER,40208,,,2021/03/14 18:00:00,2021/03/26 00:00:00,DISMISSED,,91.020,81
V21-015967,CITATION,N919013,2021/04/03 17:24:00+00,A21-089973-2,INVESTIGAT NEGLI,OFFICER MILLER,40208,05/03/21,,,,,,91.020,82
V21-015654,CIT DD/PDD,N918995,2021/02/02 17:40:00+00,A21-088323-2,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40219,02/19/21,,,2021/03/22 00:00:00,GUILTY,,91.002,83
V21-015723,WARNING,01-51826,2021/02/22 13:53:00+00,A21-088813-3,INVESTIGAT BITE,OFFICER THOMPSON,40216,,,2021/03/31 00:00:00,2021/04/26 00:00:00,VOID,,91.020,84
V21-015782,CIT DD/PDD,N919072,2021/03/05 17:02:00+00,A21-089167-4,INVESTIGAT ANI ATTACK,OFFICER THOMPSON,40272,04/22/21,,,,,,91.020,85
V21-015721,VIOL RED,VR21-210589,2021/02/21 23:55:00+00,A21-088869-3,XTRA SERVE VIOL OTC,OFFICER RATLIFF,40218,,,2021/02/26 00:00:00,2021/02/23 00:00:00,COMPLIED,R21-210589,91.002,86
V21-015583,WARNING,01-50205,2021/01/14 19:17:00+00,A21-087903-1,ASSIST SHERIFF,OFFICER MILLER,40208,,,2021/03/14 18:00:00,2021/03/26 00:00:00,DISMISSED,,91.020,87
V21-015967,CITATION,N919013,2021/04/03 17:24:00+00,A21-089973-2,INVESTIGAT NEGLI,OFFICER MILLER,40208,05/03/21,,,,,,91.020,88
V21-015654,CIT DD/PDD,N918995,2021/02/02 17:40:00+00,A21-088323-2,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40219,02/19/21,,,2021/03/22 00:00:00,GUILTY,,91.002,89
V21-015723,WARNING,01-51826,2021/02/22 13:53:00+00,A21-088813-3,INVESTIGAT BITE,OFFICER THOMPSON,40216,,,2021/03/31 00:00:00,2021/04/26 00:00:00,VOID,,91.072,90
V21-015783,CIT DD/PDD,N919038,2021/03/05 18:15:00+00,A21-089161-3,INVESTIGAT BITE,OFFICER STEWART,40212,04/01/21,,,,,,91.150,91
V21-015721,VIOL RED,VR21-210589,2021/02/21 23:55:00+00,A21-088869-3,XTRA SERVE VIOL OTC,OFFICER RATLIFF,40218,,,2021/02/26 00:00:00,2021/02/23 00:00:00,COMPLIED,R21-210589,91.020,92
V21-015583,WARNING,01-50205,2021/01/14 19:17:00+00,A21-087903-1,ASSIST SHERIFF,OFFICER MILLER,40208,,,2021/03/14 18:00:00,2021/03/26 00:00:00,DISMISSED,,91.020,93
V21-015967,CITATION,N919013,2021/04/03 17:24:00+00,A21-089973-2,INVESTIGAT NEGLI,OFFICER MILLER,40208,05/03/21,,,,,,91.020,94
V21-015670,VIOL CTER,VR21-209943,2021/02/05 22:24:00+00,,,,40218,,,2021/02/05 17:24:00,2021/02/05 00:00:00,COMPLIED,R21-209943,91.002,95
V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.002,96
V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.020,97
V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.071,98
V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.002,99
V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.020,100
V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.071,101
V21-015734,CIT DD/PDD,P198997,2021/02/25 19:36:00+00,A21-088960-2,INVESTIGAT BITE,OFFICER HARRIS,40214,04/12/21,,,,,,91.150,102
V21-015734,CIT DD/PDD,P198997,2021/02/25 19:36:00+00,A21-088960-2,INVESTIGAT BITE,OFFICER HARRIS,40214,04/12/21,,,,,,91.020,103
V21-015750,WARNING,01-51565,2021/02/26 23:50:00+00,A21-088847-4,INVESTIGAT BITEF,OFFICER HARRIS,40214,,,2021/05/03 18:00:00,2021/05/01 00:00:00,COMPLIED,,91.072,104
V21-015751,VIOL RED,VR20-208044,2020/12/16 20:32:00+00,,,,40218,,,2021/02/27 00:00:00,2021/03/31 00:00:00,DISMISSED,,91.071,105
V21-015752,VIOL CTER,VR21-210859,2021/02/26 22:01:00+00,,,,40218,,,2021/02/26 17:01:00,2021/02/26 00:00:00,COMPLIED,R21-210859,91.002,106
V21-015752,VIOL CTER,VR21-210859,2021/02/26 22:01:00+00,,,,40218,,,2021/02/26 17:01:00,2021/02/26 00:00:00,COMPLIED,R21-210859,91.020,107
V21-015752,VIOL CTER,VR21-210859,2021/02/26 22:01:00+00,,,,40218,,,2021/02/26 17:01:00,2021/02/26 00:00:00,COMPLIED,R21-210859,91.071,108
V21-015757,VN/CITE,VR21-210850,2021/06/30 21:09:00+00,,,,40218,07/22/21,P193779,2021/06/10 00:00:00,,CONV CITA,,91.090,109
V21-015806,VET,01-51829,2021/03/09 13:09:00+00,A21-089283-1,STRAY INJURED,OFFICER THOMPSON,40216,,,2021/03/10 00:00:00,2021/03/11 00:00:00,COMPLIED,,91.090,110
V21-015807,CITE71,N919074,2021/03/09 13:09:00+00,A21-089283-1,STRAY INJURED,OFFICER THOMPSON,40216,05/06/21,,,,,,91.002,111
V21-015807,CITE71,N919074,2021/03/09 13:09:00+00,A21-089283-1,STRAY INJURED,OFFICER THOMPSON,40216,05/06/21,,,,,,91.071,112
V21-015807,CITE71,N919074,2021/03/09 13:09:00+00,A21-089283-1,STRAY INJURED,OFFICER THOMPSON,40216,05/06/21,,,,,,91.020,113
V21-015889,VIOL CTER,VR21-212333,2021/03/22 18:52:00+00,,,,40218,,,2021/03/22 00:00:00,2021/03/22 00:00:00,COMPLIED,R21-216773,91.002,114
V21-015889,VIOL CTER,VR21-212333,2021/03/22 18:52:00+00,,,,40218,,,2021/03/22 00:00:00,2021/03/22 00:00:00,COMPLIED,R21-216773,91.020,115
V21-015889,VIOL CTER,VR21-212333,2021/03/22 18:52:00+00,,,,40218,,,2021/03/22 00:00:00,2021/03/22 00:00:00,COMPLIED,R21-216773,91.071,116
V21-015912,VIOL NOTIC,01-51860,2021/03/26 16:44:00+00,A21-089806-1,OWNED AGGRESSIVE,OFFICER RATLIFF,40218,,,2021/09/26 00:00:00,2021/09/01 00:00:00,COMPLIED,,91.020,117
V21-015940,CIT DD/PDD,N918631,2021/03/31 18:26:00+00,A21-089896-5,INVESTIGAT BITE,OFFICER COGBURN,40243,04/28/21,,,,,,91.150,118
V21-015940,CIT DD/PDD,N918631,2021/03/31 18:26:00+00,A21-089896-5,INVESTIGAT BITE,OFFICER COGBURN,40243,04/28/21,,,,,,91.072,119
V21-015940,CIT DD/PDD,N918631,2021/03/31 18:26:00+00,A21-089896-5,INVESTIGAT BITE,OFFICER COGBURN,40243,04/28/21,,,,,,91.020,120
V21-015942,VIOL CTER,VR21-212815,2021/03/31 22:13:00+00,A21-089980-1,XTRA SERVE VIOL OTC,OFFICER COGBURN,40218,,,2021/03/31 18:45:00,2021/03/31 00:00:00,COMPLIED,R21-212815,91.002,121
V21-015966,VIOL RED,VR21-212961,2021/04/04 17:35:00+00,A21-090082-1,XTRA SERVE VIOL OTC,OFFICER MILLER,40218,,,2021/05/04 18:00:00,2021/06/22 00:00:00,COMPLIED,,91.020,122
V21-015982,WARN/CP,01-51832,2021/07/30 19:00:00+00,A21-089963-1,INVESTIGAT OTHER,OFFICER THOMPSON,40215,08/07/21,02-100967,2021/07/01 00:00:00,2021/08/02 00:00:00,COMPLIED,R21-221363,91.023,123
V21-015982,WARN/CP,01-51832,2021/07/30 19:00:00+00,A21-089963-1,INVESTIGAT OTHER,OFFICER THOMPSON,40215,08/07/21,02-100967,2021/07/01 00:00:00,2021/08/02 00:00:00,COMPLIED,R21-221363,91.023,124
V21-016026,CIT DD/PDD,N919015,2021/04/13 16:12:00+00,A21-089635-7,INVESTIGAT BITE,OFFICER MILLER,40215,08/04/21,,,,,,91.150,125
V21-016028,CIT DD/PDD,N918636,2021/04/13 19:04:00+00,A21-090388-3,INVESTIGAT ANI ATTACK,OFFICER COGBURN,40241,08/16/21,,,,,,91.150,126
V21-016028,CIT DD/PDD,N918636,2021/04/13 19:04:00+00,A21-090388-3,INVESTIGAT ANI ATTACK,OFFICER COGBURN,40241,08/16/21,,,,,,91.020,127
V21-016028,CIT DD/PDD,N918636,2021/04/13 19:04:00+00,A21-090388-3,INVESTIGAT ANI ATTACK,OFFICER COGBURN,40241,08/16/21,,,,,,91.150,128
V21-016028,CIT DD/PDD,N918636,2021/04/13 19:04:00+00,A21-090388-3,INVESTIGAT ANI ATTACK,OFFICER COGBURN,40241,08/16/21,,,,,,91.020,129
V21-016033,CIT DD/PDD,N919014,2021/04/12 18:09:00+00,A21-090068-2,OWNED AGGRESSIVE,OFFICER MILLER,40212,05/05/21,,,,,,91.072,130
V21-016033,CIT DD/PDD,N919014,2021/04/12 18:09:00+00,A21-090068-2,OWNED AGGRESSIVE,OFFICER MILLER,40212,05/05/21,,,,,,91.072,131
V21-016041,VIOL CTER,VR21-213553,2021/04/14 17:54:00+00,,,,,,,2021/04/14 13:54:00,2021/04/14 00:00:00,COMPLIED,R21-213553,91.002,132
V21-016041,VIOL CTER,VR21-213553,2021/04/14 17:54:00+00,,,,,,,2021/04/14 13:54:00,2021/04/14 00:00:00,COMPLIED,R21-213553,91.020,133
V21-016041,VIOL CTER,VR21-213553,2021/04/14 17:54:00+00,,,,,,,2021/04/14 13:54:00,2021/04/14 00:00:00,COMPLIED,R21-213553,91.071,134
V21-016042,VET/CRIM,VR21-213498,2021/09/16 15:00:00+00,,,,,,4058543,2021/07/16 00:00:00,,CONV CRIM,,91.090,135
V21-016044,CIVIL PEN,02-100652,2021/04/14 23:58:00+00,A21-090362-3,INVESTIGAT BITE,OFFICER HARRIS,40272,,,2021/04/24 18:00:00,2021/04/22 00:00:00,COMPLIED,R21-213927,91.004,136
V21-016048,CIVIL PEN,02-100886,2021/04/15 19:46:00+00,A21-090123-6,INVESTIGAT BITE,OFFICER STEWART,40205,,,2021/05/21 11:25:00,2021/05/21 00:00:00,DISMISSED,,91.004,137
V21-015586,VET,01-50143,2021/01/14 21:44:00+00,A21-087905-1,INVESTIGAT ABUSE,OFFICER STEWART,40206,,,2021/01/22 00:00:00,2021/01/22 00:00:00,DISMISSED,,91.090,138
V21-015600,VIOL RED,VR21-209181,2021/01/20 00:39:00+00,A21-088009-1,XTRA SERVE VIOL OTC,OFFICER COGBURN,40218,,,2021/02/19 00:00:00,2021/01/19 00:00:00,COMPLIED,R21-209181,91.002,139
V21-015604,CIT DD/PDD,P198747,2021/01/19 20:06:00+00,A21-087989-4,STRAY AGGRS,OFFICER COGBURN,40229,02/17/21,,,,,,91.002,140
V21-015604,CIT DD/PDD,P198747,2021/01/19 20:06:00+00,A21-087989-4,STRAY AGGRS,OFFICER COGBURN,40229,02/17/21,,,,,,91.150,141
V20-013688,WARN/CP,01-51315,2020/12/29 20:32:00+00,A20-078727-3,INVESTIGAT BITE,OFFICER SABATINI,40213,01/04/21,V20-013688,2020/10/18 18:00:00,,HAND ADMIN,,91.072,142
V21-015783,CIT DD/PDD,N919038,2021/03/05 18:15:00+00,A21-089161-3,INVESTIGAT BITE,OFFICER STEWART,40212,04/01/21,,,,,,91.072,143
V20-014864,WARN/CP,01-50154,2020/12/25 20:45:00+00,A20-077977-13,INVESTIGAT BITEF,OFFICER SABATINI,40229,01/04/21,V20-014848,2020/10/18 18:00:00,,HAND ADMIN,,91.020,144
